Electoral wards and divisions Code,Electoral wards and divisions,General health (6 categories) Code,General health (6 categories),Observation
E05013516,Wembley Park,3,Fair health,522
E05013516,Wembley Park,4,Bad health,106
E05013516,Wembley Park,5,Very bad health,37
E05013517,Willesden Green,-8,Does not apply,0
E05013517,Willesden Green,1,Very good health,9983
E05013517,Willesden Green,2,Good health,6100
E05013517,Willesden Green,3,Fair health,2018
E05013517,Willesden Green,4,Bad health,640
E05013517,Willesden Green,5,Very bad health,215
E05013518,Central Greenford,-8,Does not apply,0
E05013518,Central Greenford,1,Very good health,7049
E05013518,Central Greenford,2,Good health,5172
E05013518,Central Greenford,3,Fair health,1512
E05013518,Central Greenford,4,Bad health,471
E05013518,Central Greenford,5,Very bad health,149
E05013519,Dormers Wells,-8,Does not apply,0
E05013519,Dormers Wells,1,Very good health,7368
E05013519,Dormers Wells,2,Good health,5270
E05013519,Dormers Wells,3,Fair health,2086
E05013519,Dormers Wells,4,Bad health,698
E05013519,Dormers Wells,5,Very bad health,192
E05013520,Ealing Broadway,-8,Does not apply,0
E05013520,Ealing Broadway,1,Very good health,8043
E05013520,Ealing Broadway,2,Good health,4232
E05013520,Ealing Broadway,3,Fair health,1216
E05013520,Ealing Broadway,4,Bad health,325
E05013520,Ealing Broadway,5,Very bad health,103
E05013521,Ealing Common,-8,Does not apply,0
E05013521,Ealing Common,1,Very good health,8681
E05013521,Ealing Common,2,Good health,5147
E05013521,Ealing Common,3,Fair health,1572
E05013521,Ealing Common,4,Bad health,408
E05013521,Ealing Common,5,Very bad health,138
E05013522,East Acton,-8,Does not apply,0
E05013522,East Acton,1,Very good health,8355
E05013522,East Acton,2,Good health,4799
E05013522,East Acton,3,Fair health,1444
E05013522,East Acton,4,Bad health,470
E05013522,East Acton,5,Very bad health,142
E05013523,Greenford Broadway,-8,Does not apply,0
E05013523,Greenford Broadway,1,Very good health,8730
E05013523,Greenford Broadway,2,Good health,5802
E05013523,Greenford Broadway,3,Fair health,2005
E05013523,Greenford Broadway,4,Bad health,634
E05013523,Greenford Broadway,5,Very bad health,213
E05013524,Hanger Hill,-8,Does not apply,0
E05013524,Hanger Hill,1,Very good health,9461
E05013524,Hanger Hill,2,Good health,5442
E05013524,Hanger Hill,3,Fair health,1559
E05013524,Hanger Hill,4,Bad health,441
E05013524,Hanger Hill,5,Very bad health,141
E05013525,Hanwell Broadway,-8,Does not apply,0
E05013525,Hanwell Broadway,1,Very good health,8189
E05013525,Hanwell Broadway,2,Good health,4831
E05013525,Hanwell Broadway,3,Fair health,1634
E05013525,Hanwell Broadway,4,Bad health,477
E05013525,Hanwell Broadway,5,Very bad health,159
E05013526,Lady Margaret,-8,Does not apply,0
E05013526,Lady Margaret,1,Very good health,7221
E05013526,Lady Margaret,2,Good health,5645
E05013526,Lady Margaret,3,Fair health,2162
E05013526,Lady Margaret,4,Bad health,578
E05013526,Lady Margaret,5,Very bad health,179
E05013527,North Acton,-8,Does not apply,0
E05013527,North Acton,1,Very good health,10288
E05013527,North Acton,2,Good health,6269
E05013527,North Acton,3,Fair health,1815
E05013527,North Acton,4,Bad health,493
E05013527,North Acton,5,Very bad health,178
E05013528,North Greenford,-8,Does not apply,0
E05013528,North Greenford,1,Very good health,7944
E05013528,North Greenford,2,Good health,5404
E05013528,North Greenford,3,Fair health,1663
E05013528,North Greenford,4,Bad health,405
E05013528,North Greenford,5,Very bad health,141
E05013529,North Hanwell,-8,Does not apply,0
E05013529,North Hanwell,1,Very good health,7687
E05013529,North Hanwell,2,Good health,4912
E05013529,North Hanwell,3,Fair health,1780
E05013529,North Hanwell,4,Bad health,494
E05013529,North Hanwell,5,Very bad health,167
E05013530,Northfield (Ealing),-8,Does not apply,0
E05013530,Northfield (Ealing),1,Very good health,8110
E05013530,Northfield (Ealing),2,Good health,4569
E05013530,Northfield (Ealing),3,Fair health,1161
E05013530,Northfield (Ealing),4,Bad health,332
E05013530,Northfield (Ealing),5,Very bad health,91
E05013531,Northolt Mandeville,-8,Does not apply,0
E05013531,Northolt Mandeville,1,Very good health,8614
E05013531,Northolt Mandeville,2,Good health,6123
E05013531,Northolt Mandeville,3,Fair health,2011
E05013531,Northolt Mandeville,4,Bad health,584
E05013531,Northolt Mandeville,5,Very bad health,202
E05013532,Northolt West End,-8,Does not apply,0
E05013532,Northolt West End,1,Very good health,8459
E05013532,Northolt West End,2,Good health,5423
E05013532,Northolt West End,3,Fair health,1833
E05013532,Northolt West End,4,Bad health,630
E05013532,Northolt West End,5,Very bad health,191
E05013533,Norwood Green,-8,Does not apply,0
E05013533,Norwood Green,1,Very good health,8086
E05013533,Norwood Green,2,Good health,5306
E05013533,Norwood Green,3,Fair health,1897
E05013533,Norwood Green,4,Bad health,611
E05013533,Norwood Green,5,Very bad health,195
E05013534,Perivale,-8,Does not apply,0
E05013534,Perivale,1,Very good health,8227
E05013534,Perivale,2,Good health,5372
E05013534,Perivale,3,Fair health,1942
E05013534,Perivale,4,Bad health,476
E05013534,Perivale,5,Very bad health,168
E05013535,Pitshanger,-8,Does not apply,0
E05013535,Pitshanger,1,Very good health,8183
E05013535,Pitshanger,2,Good health,4833
E05013535,Pitshanger,3,Fair health,1509
E05013535,Pitshanger,4,Bad health,494
E05013535,Pitshanger,5,Very bad health,150
E05013536,South Acton,-8,Does not apply,0
E05013536,South Acton,1,Very good health,9331
E05013536,South Acton,2,Good health,4958
E05013536,South Acton,3,Fair health,1642
E05013536,South Acton,4,Bad health,645
E05013536,South Acton,5,Very bad health,246
E05013537,Southall Broadway,-8,Does not apply,0
E05013537,Southall Broadway,1,Very good health,5278
E05013537,Southall Broadway,2,Good health,3761
E05013537,Southall Broadway,3,Fair health,1283
E05013537,Southall Broadway,4,Bad health,399
E05013537,Southall Broadway,5,Very bad health,104
E05013538,Southall Green,-8,Does not apply,0
E05013538,Southall Green,1,Very good health,7698
E05013538,Southall Green,2,Good health,5525
E05013538,Southall Green,3,Fair health,1789
E05013538,Southall Green,4,Bad health,530
E05013538,Southall Green,5,Very bad health,152
E05013539,Southall West,-8,Does not apply,0
E05013539,Southall West,1,Very good health,3206
E05013539,Southall West,2,Good health,2230
E05013539,Southall West,3,Fair health,807
E05013539,Southall West,4,Bad health,265
E05013539,Southall West,5,Very bad health,71
E05013540,Southfield,-8,Does not apply,0
E05013540,Southfield,1,Very good health,9928
E05013540,Southfield,2,Good health,4824
E05013540,Southfield,3,Fair health,1270
E05013540,Southfield,4,Bad health,355
E05013540,Southfield,5,Very bad health,98
E05013541,Walpole,-8,Does not apply,0
E05013541,Walpole,1,Very good health,8423
E05013541,Walpole,2,Good health,4540
E05013541,Walpole,3,Fair health,1276
E05013541,Walpole,4,Bad health,405
E05013541,Walpole,5,Very bad health,112
E05013542,Belmont (Harrow),-8,Does not apply,0
E05013542,Belmont (Harrow),1,Very good health,4688
E05013542,Belmont (Harrow),2,Good health,3119
E05013542,Belmont (Harrow),3,Fair health,899
E05013542,Belmont (Harrow),4,Bad health,234
E05013542,Belmont (Harrow),5,Very bad health,81
E05013543,Canons,-8,Does not apply,0
E05013543,Canons,1,Very good health,4846
E05013543,Canons,2,Good health,3336
E05013543,Canons,3,Fair health,1132
E05013543,Canons,4,Bad health,307
E05013543,Canons,5,Very bad health,114
E05013544,Centenary,-8,Does not apply,0
E05013544,Centenary,1,Very good health,8030
E05013544,Centenary,2,Good health,5184
E05013544,Centenary,3,Fair health,1486
E05013544,Centenary,4,Bad health,389
E05013544,Centenary,5,Very bad health,112
E05013545,Edgware (Harrow),-8,Does not apply,0
E05013545,Edgware (Harrow),1,Very good health,8218
E05013545,Edgware (Harrow),2,Good health,5234
E05013545,Edgware (Harrow),3,Fair health,1606
E05013545,Edgware (Harrow),4,Bad health,471
E05013545,Edgware (Harrow),5,Very bad health,184
E05013546,Greenhill (Harrow),-8,Does not apply,0
E05013546,Greenhill (Harrow),1,Very good health,5953
E05013546,Greenhill (Harrow),2,Good health,3612
E05013546,Greenhill (Harrow),3,Fair health,1057
E05013546,Greenhill (Harrow),4,Bad health,279
E05013546,Greenhill (Harrow),5,Very bad health,116
E05013547,Harrow on the Hill,-8,Does not apply,0
E05013547,Harrow on the Hill,1,Very good health,5886
E05013547,Harrow on the Hill,2,Good health,3451
E05013547,Harrow on the Hill,3,Fair health,1065
E05013547,Harrow on the Hill,4,Bad health,289
E05013547,Harrow on the Hill,5,Very bad health,95
E05013548,Harrow Weald,-8,Does not apply,0
E05013548,Harrow Weald,1,Very good health,6694
E05013548,Harrow Weald,2,Good health,4918
E05013548,Harrow Weald,3,Fair health,1894
E05013548,Harrow Weald,4,Bad health,636
E05013548,Harrow Weald,5,Very bad health,201
E05013549,Hatch End,-8,Does not apply,0
E05013549,Hatch End,1,Very good health,5256
E05013549,Hatch End,2,Good health,3263
E05013549,Hatch End,3,Fair health,1008
E05013549,Hatch End,4,Bad health,228
E05013549,Hatch End,5,Very bad health,68
E05013550,Headstone,-8,Does not apply,0
E05013550,Headstone,1,Very good health,7854
E05013550,Headstone,2,Good health,5025
E05013550,Headstone,3,Fair health,1497
E05013550,Headstone,4,Bad health,368
E05013550,Headstone,5,Very bad health,138
E05013551,Kenton East,-8,Does not apply,0
E05013551,Kenton East,1,Very good health,6855
E05013551,Kenton East,2,Good health,4707
E05013551,Kenton East,3,Fair health,1508
E05013551,Kenton East,4,Bad health,420
E05013551,Kenton East,5,Very bad health,127
E05013552,Kenton West,-8,Does not apply,0
E05013552,Kenton West,1,Very good health,5078
E05013552,Kenton West,2,Good health,3449
E05013552,Kenton West,3,Fair health,1107
E05013552,Kenton West,4,Bad health,298
E05013552,Kenton West,5,Very bad health,58
E05013553,Marlborough,-8,Does not apply,0
E05013553,Marlborough,1,Very good health,6139
E05013553,Marlborough,2,Good health,4186
E05013553,Marlborough,3,Fair health,1206
E05013553,Marlborough,4,Bad health,361
E05013553,Marlborough,5,Very bad health,101
E05013554,North Harrow,-8,Does not apply,0
E05013554,North Harrow,1,Very good health,4484
E05013554,North Harrow,2,Good health,3239
E05013554,North Harrow,3,Fair health,956
E05013554,North Harrow,4,Bad health,236
E05013554,North Harrow,5,Very bad health,79
E05013555,Pinner,-8,Does not apply,0
E05013555,Pinner,1,Very good health,6995
E05013555,Pinner,2,Good health,4330
E05013555,Pinner,3,Fair health,1375
E05013555,Pinner,4,Bad health,326
E05013555,Pinner,5,Very bad health,110
E05013556,Pinner South,-8,Does not apply,0
E05013556,Pinner South,1,Very good health,8320
E05013556,Pinner South,2,Good health,5426
E05013556,Pinner South,3,Fair health,1525
E05013556,Pinner South,4,Bad health,370
E05013556,Pinner South,5,Very bad health,101
E05013557,Rayners Lane,-8,Does not apply,0
E05013557,Rayners Lane,1,Very good health,4624
E05013557,Rayners Lane,2,Good health,3256
E05013557,Rayners Lane,3,Fair health,991
E05013557,Rayners Lane,4,Bad health,212
E05013557,Rayners Lane,5,Very bad health,60
E05013558,Roxbourne,-8,Does not apply,0
E05013558,Roxbourne,1,Very good health,4955
E05013558,Roxbourne,2,Good health,3317
E05013558,Roxbourne,3,Fair health,1146
E05013558,Roxbourne,4,Bad health,359
E05013558,Roxbourne,5,Very bad health,128
E05013559,Roxeth,-8,Does not apply,0
E05013559,Roxeth,1,Very good health,7881
E05013559,Roxeth,2,Good health,5620
E05013559,Roxeth,3,Fair health,1752
E05013559,Roxeth,4,Bad health,483
E05013559,Roxeth,5,Very bad health,128
E05013560,Stanmore,-8,Does not apply,0
E05013560,Stanmore,1,Very good health,6787
E05013560,Stanmore,2,Good health,4428
E05013560,Stanmore,3,Fair health,1620
E05013560,Stanmore,4,Bad health,494
E05013560,Stanmore,5,Very bad health,172
E05013561,Wealdstone North,-8,Does not apply,0
E05013561,Wealdstone North,1,Very good health,5531
E05013561,Wealdstone North,2,Good health,3349
E05013561,Wealdstone North,3,Fair health,1148
E05013561,Wealdstone North,4,Bad health,363
E05013561,Wealdstone North,5,Very bad health,97
E05013562,Wealdstone South,-8,Does not apply,0
E05013562,Wealdstone South,1,Very good health,4109
E05013562,Wealdstone South,2,Good health,2654
E05013562,Wealdstone South,3,Fair health,825
E05013562,Wealdstone South,4,Bad health,286
E05013562,Wealdstone South,5,Very bad health,83
E05013563,West Harrow,-8,Does not apply,0
E05013563,West Harrow,1,Very good health,5372
E05013563,West Harrow,2,Good health,3494
E05013563,West Harrow,3,Fair health,1104
E05013563,West Harrow,4,Bad health,310
E05013563,West Harrow,5,Very bad health,82
E05013564,Belmore,-8,Does not apply,0
E05013564,Belmore,1,Very good health,8750
E05013564,Belmore,2,Good health,6084
E05013564,Belmore,3,Fair health,1992
E05013564,Belmore,4,Bad health,506
E05013564,Belmore,5,Very bad health,159
E05013565,Charville,-8,Does not apply,0
E05013565,Charville,1,Very good health,5929
E05013565,Charville,2,Good health,3849
E05013565,Charville,3,Fair health,1285
E05013565,Charville,4,Bad health,347
E05013565,Charville,5,Very bad health,100
E05013566,Colham & Cowley,-8,Does not apply,0
E05013566,Colham & Cowley,1,Very good health,9620
E05013566,Colham & Cowley,2,Good health,6481
E05013566,Colham & Cowley,3,Fair health,2205
E05013566,Colham & Cowley,4,Bad health,620
E05013566,Colham & Cowley,5,Very bad health,210
E05013567,Eastcote,-8,Does not apply,0
E05013567,Eastcote,1,Very good health,8669
E05013567,Eastcote,2,Good health,5823
E05013567,Eastcote,3,Fair health,1802
E05013567,Eastcote,4,Bad health,463
E05013567,Eastcote,5,Very bad health,155
E05013568,Harefield Village,-8,Does not apply,0
E05013568,Harefield Village,1,Very good health,2831
E05013568,Harefield Village,2,Good health,1925
E05013568,Harefield Village,3,Fair health,719
E05013568,Harefield Village,4,Bad health,200
E05013568,Harefield Village,5,Very bad health,66
E05013569,Hayes Town,-8,Does not apply,0
E05013569,Hayes Town,1,Very good health,7768
E05013569,Hayes Town,2,Good health,5190
E05013569,Hayes Town,3,Fair health,1511
E05013569,Hayes Town,4,Bad health,406
E05013569,Hayes Town,5,Very bad health,123
E05013570,Heathrow Villages,-8,Does not apply,0
E05013570,Heathrow Villages,1,Very good health,7093
E05013570,Heathrow Villages,2,Good health,4969
E05013570,Heathrow Villages,3,Fair health,1471
E05013570,Heathrow Villages,4,Bad health,386
E05013570,Heathrow Villages,5,Very bad health,122
E05013571,Hillingdon East,-8,Does not apply,0
E05013571,Hillingdon East,1,Very good health,7961
E05013571,Hillingdon East,2,Good health,5403
E05013571,Hillingdon East,3,Fair health,1805
E05013571,Hillingdon East,4,Bad health,496
E05013571,Hillingdon East,5,Very bad health,139
E05013572,Hillingdon West,-8,Does not apply,0
E05013572,Hillingdon West,1,Very good health,5327
E05013572,Hillingdon West,2,Good health,3116
E05013572,Hillingdon West,3,Fair health,905
E05013572,Hillingdon West,4,Bad health,250
E05013572,Hillingdon West,5,Very bad health,92
E05013573,Ickenham & South Harefield,-8,Does not apply,0
E05013573,Ickenham & South Harefield,1,Very good health,8268
E05013573,Ickenham & South Harefield,2,Good health,5222
E05013573,Ickenham & South Harefield,3,Fair health,1523
E05013573,Ickenham & South Harefield,4,Bad health,376
E05013573,Ickenham & South Harefield,5,Very bad health,130
E05013574,Northwood (Hillingdon),-8,Does not apply,0
E05013574,Northwood (Hillingdon),1,Very good health,5807
E05013574,Northwood (Hillingdon),2,Good health,3792
E05013574,Northwood (Hillingdon),3,Fair health,1225
E05013574,Northwood (Hillingdon),4,Bad health,359
E05013574,Northwood (Hillingdon),5,Very bad health,126
E05013575,Northwood Hills,-8,Does not apply,0
E05013575,Northwood Hills,1,Very good health,5902
E05013575,Northwood Hills,2,Good health,4085
E05013575,Northwood Hills,3,Fair health,1280
E05013575,Northwood Hills,4,Bad health,382
E05013575,Northwood Hills,5,Very bad health,122
E05013576,Pinkwell,-8,Does not apply,0
E05013576,Pinkwell,1,Very good health,8587
E05013576,Pinkwell,2,Good health,5661
E05013576,Pinkwell,3,Fair health,1803
E05013576,Pinkwell,4,Bad health,507
E05013576,Pinkwell,5,Very bad health,151
E05013577,Ruislip,-8,Does not apply,0
E05013577,Ruislip,1,Very good health,8143
E05013577,Ruislip,2,Good health,5082
E05013577,Ruislip,3,Fair health,1670
E05013577,Ruislip,4,Bad health,421
E05013577,Ruislip,5,Very bad health,125
E05013578,Ruislip Manor,-8,Does not apply,0
E05013578,Ruislip Manor,1,Very good health,5741
E05013578,Ruislip Manor,2,Good health,3833
E05013578,Ruislip Manor,3,Fair health,1087
E05013578,Ruislip Manor,4,Bad health,249
E05013578,Ruislip Manor,5,Very bad health,70
E05013579,South Ruislip,-8,Does not apply,0
E05013579,South Ruislip,1,Very good health,9025
E05013579,South Ruislip,2,Good health,5577
E05013579,South Ruislip,3,Fair health,1658
E05013579,South Ruislip,4,Bad health,451
E05013579,South Ruislip,5,Very bad health,127
E05013580,Uxbridge,-8,Does not apply,0
E05013580,Uxbridge,1,Very good health,9334
E05013580,Uxbridge,2,Good health,6007
E05013580,Uxbridge,3,Fair health,1950
E05013580,Uxbridge,4,Bad health,534
E05013580,Uxbridge,5,Very bad health,137
E05013581,West Drayton,-8,Does not apply,0
E05013581,West Drayton,1,Very good health,9214
E05013581,West Drayton,2,Good health,6308
E05013581,West Drayton,3,Fair health,2089
E05013581,West Drayton,4,Bad health,634
E05013581,West Drayton,5,Very bad health,188
E05013582,Wood End,-8,Does not apply,0
E05013582,Wood End,1,Very good health,9611
E05013582,Wood End,2,Good health,6714
E05013582,Wood End,3,Fair health,2399
E05013582,Wood End,4,Bad health,798
E05013582,Wood End,5,Very bad health,280
E05013583,Yeading,-8,Does not apply,0
E05013583,Yeading,1,Very good health,6986
E05013583,Yeading,2,Good health,4452
E05013583,Yeading,3,Fair health,1386
E05013583,Yeading,4,Bad health,445
E05013583,Yeading,5,Very bad health,151
E05013584,Yiewsley,-8,Does not apply,0
E05013584,Yiewsley,1,Very good health,6409
E05013584,Yiewsley,2,Good health,4154
E05013584,Yiewsley,3,Fair health,1322
E05013584,Yiewsley,4,Bad health,417
E05013584,Yiewsley,5,Very bad health,104
E05013585,Alexandra Park,-8,Does not apply,0
E05013585,Alexandra Park,1,Very good health,5243
E05013585,Alexandra Park,2,Good health,2654
E05013585,Alexandra Park,3,Fair health,694
E05013585,Alexandra Park,4,Bad health,179
E05013585,Alexandra Park,5,Very bad health,68
E05013586,Bounds Green,-8,Does not apply,0
E05013586,Bounds Green,1,Very good health,5200
E05013586,Bounds Green,2,Good health,3103
E05013586,Bounds Green,3,Fair health,1069
E05013586,Bounds Green,4,Bad health,332
E05013586,Bounds Green,5,Very bad health,129
E05013587,Bruce Castle,-8,Does not apply,0
E05013587,Bruce Castle,1,Very good health,6602
E05013587,Bruce Castle,2,Good health,4447
E05013587,Bruce Castle,3,Fair health,1673
E05013587,Bruce Castle,4,Bad health,555
E05013587,Bruce Castle,5,Very bad health,200
E05013588,Crouch End,-8,Does not apply,0
E05013588,Crouch End,1,Very good health,7738
E05013588,Crouch End,2,Good health,3724
E05013588,Crouch End,3,Fair health,1144
E05013588,Crouch End,4,Bad health,326
E05013588,Crouch End,5,Very bad health,108
E05013589,Fortis Green,-8,Does not apply,0
E05013589,Fortis Green,1,Very good health,7385
E05013589,Fortis Green,2,Good health,3820
E05013589,Fortis Green,3,Fair health,1019
E05013589,Fortis Green,4,Bad health,294
E05013589,Fortis Green,5,Very bad health,80
E05013590,Harringay,-8,Does not apply,0
E05013590,Harringay,1,Very good health,7772
E05013590,Harringay,2,Good health,4786
E05013590,Harringay,3,Fair health,1428
E05013590,Harringay,4,Bad health,443
E05013590,Harringay,5,Very bad health,139
E05013591,Hermitage & Gardens,-8,Does not apply,0
E05013591,Hermitage & Gardens,1,Very good health,4261
E05013591,Hermitage & Gardens,2,Good health,2841
E05013591,Hermitage & Gardens,3,Fair health,935
E05013591,Hermitage & Gardens,4,Bad health,310
E05013591,Hermitage & Gardens,5,Very bad health,91
E05013592,Highgate (Haringey),-8,Does not apply,0
E05013592,Highgate (Haringey),1,Very good health,7680
E05013592,Highgate (Haringey),2,Good health,3678
E05013592,Highgate (Haringey),3,Fair health,1003
E05013592,Highgate (Haringey),4,Bad health,294
E05013592,Highgate (Haringey),5,Very bad health,111
E05013593,Hornsey,-8,Does not apply,0
E05013593,Hornsey,1,Very good health,8234
E05013593,Hornsey,2,Good health,4637
E05013593,Hornsey,3,Fair health,1470
E05013593,Hornsey,4,Bad health,474
E05013593,Hornsey,5,Very bad health,220
E05013594,Muswell Hill,-8,Does not apply,0
E05013594,Muswell Hill,1,Very good health,5111
E05013594,Muswell Hill,2,Good health,2626
E05013594,Muswell Hill,3,Fair health,751
E05013594,Muswell Hill,4,Bad health,218
E05013594,Muswell Hill,5,Very bad health,72
E05013595,Noel Park,-8,Does not apply,0
E05013595,Noel Park,1,Very good health,6490
E05013595,Noel Park,2,Good health,4663
E05013595,Noel Park,3,Fair health,1666
E05013595,Noel Park,4,Bad health,660
E05013595,Noel Park,5,Very bad health,233
E05013596,Northumberland Park,-8,Does not apply,0
E05013596,Northumberland Park,1,Very good health,7077
E05013596,Northumberland Park,2,Good health,4836
E05013596,Northumberland Park,3,Fair health,1885
E05013596,Northumberland Park,4,Bad health,681
E05013596,Northumberland Park,5,Very bad health,225
E05013597,St Ann's (Haringey),-8,Does not apply,0
E05013597,St Ann's (Haringey),1,Very good health,5370
E05013597,St Ann's (Haringey),2,Good health,3462
E05013597,St Ann's (Haringey),3,Fair health,1141
E05013597,St Ann's (Haringey),4,Bad health,462
E05013597,St Ann's (Haringey),5,Very bad health,155
E05013598,Seven Sisters,-8,Does not apply,0
E05013598,Seven Sisters,1,Very good health,4850
E05013598,Seven Sisters,2,Good health,2888
E05013598,Seven Sisters,3,Fair health,963
E05013598,Seven Sisters,4,Bad health,399
E05013598,Seven Sisters,5,Very bad health,138
E05013599,South Tottenham,-8,Does not apply,0
E05013599,South Tottenham,1,Very good health,10027
E05013599,South Tottenham,2,Good health,4527
E05013599,South Tottenham,3,Fair health,1428
E05013599,South Tottenham,4,Bad health,575
E05013599,South Tottenham,5,Very bad health,264
E05013600,Stroud Green,-8,Does not apply,0
E05013600,Stroud Green,1,Very good health,6118
E05013600,Stroud Green,2,Good health,3205
E05013600,Stroud Green,3,Fair health,985
E05013600,Stroud Green,4,Bad health,343
E05013600,Stroud Green,5,Very bad health,141
E05013601,Tottenham Central,-8,Does not apply,0
E05013601,Tottenham Central,1,Very good health,7303
E05013601,Tottenham Central,2,Good health,5024
E05013601,Tottenham Central,3,Fair health,1633
E05013601,Tottenham Central,4,Bad health,591
E05013601,Tottenham Central,5,Very bad health,188
E05013602,Tottenham Hale,-8,Does not apply,0
E05013602,Tottenham Hale,1,Very good health,6208
E05013602,Tottenham Hale,2,Good health,4158
E05013602,Tottenham Hale,3,Fair health,1210
E05013602,Tottenham Hale,4,Bad health,489
E05013602,Tottenham Hale,5,Very bad health,113
E05013603,West Green,-8,Does not apply,0
E05013603,West Green,1,Very good health,7439
E05013603,West Green,2,Good health,4987
E05013603,West Green,3,Fair health,1775
E05013603,West Green,4,Bad health,599
E05013603,West Green,5,Very bad health,168
E05013604,White Hart Lane,-8,Does not apply,0
E05013604,White Hart Lane,1,Very good health,6473
E05013604,White Hart Lane,2,Good health,4589
E05013604,White Hart Lane,3,Fair health,1877
E05013604,White Hart Lane,4,Bad health,699
E05013604,White Hart Lane,5,Very bad health,244
E05013605,Woodside (Haringey),-8,Does not apply,0
E05013605,Woodside (Haringey),1,Very good health,7603
E05013605,Woodside (Haringey),2,Good health,5155
E05013605,Woodside (Haringey),3,Fair health,1659
E05013605,Woodside (Haringey),4,Bad health,642
E05013605,Woodside (Haringey),5,Very bad health,186
E05013606,Bedfont,-8,Does not apply,0
E05013606,Bedfont,1,Very good health,7529
E05013606,Bedfont,2,Good health,5155
E05013606,Bedfont,3,Fair health,1806
E05013606,Bedfont,4,Bad health,508
E05013606,Bedfont,5,Very bad health,151
E05013607,Brentford East,-8,Does not apply,0
E05013607,Brentford East,1,Very good health,4578
E05013607,Brentford East,2,Good health,2679
E05013607,Brentford East,3,Fair health,977
E05013607,Brentford East,4,Bad health,336
E05013607,Brentford East,5,Very bad health,122
E05013608,Brentford West,-8,Does not apply,0
E05013608,Brentford West,1,Very good health,4295
E05013608,Brentford West,2,Good health,2519
E05013608,Brentford West,3,Fair health,748
E05013608,Brentford West,4,Bad health,245
E05013608,Brentford West,5,Very bad health,74
E05013609,Chiswick Gunnersbury,-8,Does not apply,0
E05013609,Chiswick Gunnersbury,1,Very good health,7294
E05013609,Chiswick Gunnersbury,2,Good health,3818
E05013609,Chiswick Gunnersbury,3,Fair health,1119
E05013609,Chiswick Gunnersbury,4,Bad health,351
E05013609,Chiswick Gunnersbury,5,Very bad health,114
E05013610,Chiswick Homefields,-8,Does not apply,0
E05013610,Chiswick Homefields,1,Very good health,8083
E05013610,Chiswick Homefields,2,Good health,4080
E05013610,Chiswick Homefields,3,Fair health,1122
E05013610,Chiswick Homefields,4,Bad health,337
E05013610,Chiswick Homefields,5,Very bad health,119
E05013611,Chiswick Riverside,-8,Does not apply,0
E05013611,Chiswick Riverside,1,Very good health,6152
E05013611,Chiswick Riverside,2,Good health,3036
E05013611,Chiswick Riverside,3,Fair health,785
E05013611,Chiswick Riverside,4,Bad health,241
E05013611,Chiswick Riverside,5,Very bad health,88
E05013612,Cranford,-8,Does not apply,0
E05013612,Cranford,1,Very good health,7768
E05013612,Cranford,2,Good health,5682
E05013612,Cranford,3,Fair health,1891
E05013612,Cranford,4,Bad health,529
E05013612,Cranford,5,Very bad health,159
E05013613,Feltham North,-8,Does not apply,0
E05013613,Feltham North,1,Very good health,6319
E05013613,Feltham North,2,Good health,4380
E05013613,Feltham North,3,Fair health,1595
E05013613,Feltham North,4,Bad health,469
E05013613,Feltham North,5,Very bad health,142
E05013614,Feltham West,-8,Does not apply,0
E05013614,Feltham West,1,Very good health,8530
E05013614,Feltham West,2,Good health,5445
E05013614,Feltham West,3,Fair health,1645
E05013614,Feltham West,4,Bad health,468
E05013614,Feltham West,5,Very bad health,136
E05013615,Hanworth Park,-8,Does not apply,0
E05013615,Hanworth Park,1,Very good health,5262
E05013615,Hanworth Park,2,Good health,3567
E05013615,Hanworth Park,3,Fair health,1183
E05013615,Hanworth Park,4,Bad health,315
E05013615,Hanworth Park,5,Very bad health,77
E05013616,Hanworth Village,-8,Does not apply,0
E05013616,Hanworth Village,1,Very good health,8103
E05013616,Hanworth Village,2,Good health,5432
E05013616,Hanworth Village,3,Fair health,1932
E05013616,Hanworth Village,4,Bad health,582
E05013616,Hanworth Village,5,Very bad health,216
E05013617,Heston Central,-8,Does not apply,0
E05013617,Heston Central,1,Very good health,7101
E05013617,Heston Central,2,Good health,5120
E05013617,Heston Central,3,Fair health,1626
E05013617,Heston Central,4,Bad health,513
E05013617,Heston Central,5,Very bad health,174
E05013618,Heston East,-8,Does not apply,0
E05013618,Heston East,1,Very good health,5446
E05013618,Heston East,2,Good health,3999
E05013618,Heston East,3,Fair health,1244
E05013618,Heston East,4,Bad health,378
E05013618,Heston East,5,Very bad health,92
E05013619,Heston West,-8,Does not apply,0
E05013619,Heston West,1,Very good health,7779
E05013619,Heston West,2,Good health,5377
E05013619,Heston West,3,Fair health,1844
E05013619,Heston West,4,Bad health,546
E05013619,Heston West,5,Very bad health,187
E05013620,Hounslow Central,-8,Does not apply,0
E05013620,Hounslow Central,1,Very good health,5757
E05013620,Hounslow Central,2,Good health,3677
E05013620,Hounslow Central,3,Fair health,891
E05013620,Hounslow Central,4,Bad health,243
E05013620,Hounslow Central,5,Very bad health,91
E05013621,Hounslow East,-8,Does not apply,0
E05013621,Hounslow East,1,Very good health,4349
E05013621,Hounslow East,2,Good health,2998
E05013621,Hounslow East,3,Fair health,970
E05013621,Hounslow East,4,Bad health,275
E05013621,Hounslow East,5,Very bad health,80
