Electoral wards and divisions Code,Electoral wards and divisions,General health (6 categories) Code,General health (6 categories),Observation
E05009336,Whitechapel,3,Fair health,1712
E05009336,Whitechapel,4,Bad health,538
E05009336,Whitechapel,5,Very bad health,176
E05009367,Brownswood,-8,Does not apply,0
E05009367,Brownswood,1,Very good health,5068
E05009367,Brownswood,2,Good health,2674
E05009367,Brownswood,3,Fair health,854
E05009367,Brownswood,4,Bad health,295
E05009367,Brownswood,5,Very bad health,124
E05009368,Cazenove,-8,Does not apply,0
E05009368,Cazenove,1,Very good health,9766
E05009368,Cazenove,2,Good health,3656
E05009368,Cazenove,3,Fair health,1303
E05009368,Cazenove,4,Bad health,451
E05009368,Cazenove,5,Very bad health,158
E05009369,Clissold,-8,Does not apply,0
E05009369,Clissold,1,Very good health,7063
E05009369,Clissold,2,Good health,3790
E05009369,Clissold,3,Fair health,1179
E05009369,Clissold,4,Bad health,409
E05009369,Clissold,5,Very bad health,138
E05009370,Dalston,-8,Does not apply,0
E05009370,Dalston,1,Very good health,5227
E05009370,Dalston,2,Good health,2509
E05009370,Dalston,3,Fair health,820
E05009370,Dalston,4,Bad health,245
E05009370,Dalston,5,Very bad health,81
E05009371,De Beauvoir,-8,Does not apply,0
E05009371,De Beauvoir,1,Very good health,5286
E05009371,De Beauvoir,2,Good health,2708
E05009371,De Beauvoir,3,Fair health,807
E05009371,De Beauvoir,4,Bad health,287
E05009371,De Beauvoir,5,Very bad health,107
E05009372,Hackney Central,-8,Does not apply,0
E05009372,Hackney Central,1,Very good health,6693
E05009372,Hackney Central,2,Good health,3909
E05009372,Hackney Central,3,Fair health,1382
E05009372,Hackney Central,4,Bad health,550
E05009372,Hackney Central,5,Very bad health,183
E05009373,Hackney Downs,-8,Does not apply,0
E05009373,Hackney Downs,1,Very good health,6987
E05009373,Hackney Downs,2,Good health,3921
E05009373,Hackney Downs,3,Fair health,1366
E05009373,Hackney Downs,4,Bad health,500
E05009373,Hackney Downs,5,Very bad health,223
E05009374,Hackney Wick,-8,Does not apply,0
E05009374,Hackney Wick,1,Very good health,6387
E05009374,Hackney Wick,2,Good health,3715
E05009374,Hackney Wick,3,Fair health,1452
E05009374,Hackney Wick,4,Bad health,565
E05009374,Hackney Wick,5,Very bad health,189
E05009375,Haggerston,-8,Does not apply,0
E05009375,Haggerston,1,Very good health,7846
E05009375,Haggerston,2,Good health,4197
E05009375,Haggerston,3,Fair health,1534
E05009375,Haggerston,4,Bad health,610
E05009375,Haggerston,5,Very bad health,222
E05009376,Homerton,-8,Does not apply,0
E05009376,Homerton,1,Very good health,7463
E05009376,Homerton,2,Good health,4193
E05009376,Homerton,3,Fair health,1471
E05009376,Homerton,4,Bad health,577
E05009376,Homerton,5,Very bad health,180
E05009377,Hoxton East & Shoreditch,-8,Does not apply,0
E05009377,Hoxton East & Shoreditch,1,Very good health,6664
E05009377,Hoxton East & Shoreditch,2,Good health,3509
E05009377,Hoxton East & Shoreditch,3,Fair health,1077
E05009377,Hoxton East & Shoreditch,4,Bad health,373
E05009377,Hoxton East & Shoreditch,5,Very bad health,142
E05009378,Hoxton West,-8,Does not apply,0
E05009378,Hoxton West,1,Very good health,7928
E05009378,Hoxton West,2,Good health,3968
E05009378,Hoxton West,3,Fair health,1215
E05009378,Hoxton West,4,Bad health,481
E05009378,Hoxton West,5,Very bad health,160
E05009379,King's Park,-8,Does not apply,0
