Electoral wards and divisions Code,Electoral wards and divisions,Sex (2 categories) Code,Sex (2 categories),Observation
E05011101,Dulwich Wood,2,Male,5105
E05011102,Faraday,1,Female,6626
E05011102,Faraday,2,Male,5839
E05011103,Goose Green,1,Female,7112
E05011103,Goose Green,2,Male,6500
E05011104,London Bridge & West Bermondsey,1,Female,7653
E05011104,London Bridge & West Bermondsey,2,Male,7444
E05011105,Newington (Southwark),1,Female,6923
E05011105,Newington (Southwark),2,Male,6520
E05011106,North Bermondsey,1,Female,7669
E05011106,North Bermondsey,2,Male,7613
E05011107,North Walworth,1,Female,8063
E05011107,North Walworth,2,Male,7780
E05011108,Nunhead & Queen's Road,1,Female,8361
E05011108,Nunhead & Queen's Road,2,Male,7193
E05011109,Old Kent Road,1,Female,9877
E05011109,Old Kent Road,2,Male,9160
E05011110,Peckham,1,Female,7772
E05011110,Peckham,2,Male,7013
E05011111,Peckham Rye,1,Female,5335
E05011111,Peckham Rye,2,Male,4822
E05011112,Rotherhithe,1,Female,7924
E05011112,Rotherhithe,2,Male,7702
E05011113,Rye Lane,1,Female,7644
E05011113,Rye Lane,2,Male,6827
E05011114,St George's (Southwark),1,Female,4241
E05011114,St George's (Southwark),2,Male,4215
E05011115,St Giles,1,Female,8240
E05011115,St Giles,2,Male,7705
E05011116,South Bermondsey,1,Female,8107
E05011116,South Bermondsey,2,Male,7838
E05011117,Surrey Docks,1,Female,6317
E05011117,Surrey Docks,2,Male,6691
E05011217,Barnehurst,1,Female,6077
E05011217,Barnehurst,2,Male,5601
E05011218,Belvedere,1,Female,9073
E05011218,Belvedere,2,Male,8617
E05011219,Bexleyheath,1,Female,8173
E05011219,Bexleyheath,2,Male,7444
E05011220,Blackfen & Lamorbey,1,Female,8613
E05011220,Blackfen & Lamorbey,2,Male,8113
E05011221,Blendon & Penhill,1,Female,8095
E05011221,Blendon & Penhill,2,Male,7536
E05011222,Crayford,1,Female,8376
E05011222,Crayford,2,Male,7905
E05011223,Crook Log,1,Female,7936
E05011223,Crook Log,2,Male,7323
E05011224,East Wickham,1,Female,8214
E05011224,East Wickham,2,Male,7699
E05011225,Erith,1,Female,6932
E05011225,Erith,2,Male,6170
E05011226,Falconwood & Welling,1,Female,8502
E05011226,Falconwood & Welling,2,Male,8071
E05011227,Longlands,1,Female,5221
E05011227,Longlands,2,Male,4858
E05011228,Northumberland Heath,1,Female,5761
E05011228,Northumberland Heath,2,Male,5382
E05011229,St Mary's & St James (Bexley),1,Female,5558
E05011229,St Mary's & St James (Bexley),2,Male,5189
E05011230,Sidcup,1,Female,8256
E05011230,Sidcup,2,Male,7165
E05011231,Slade Green & Northend,1,Female,6744
E05011231,Slade Green & Northend,2,Male,6005
E05011232,Thamesmead East,1,Female,8236
E05011232,Thamesmead East,2,Male,7690
E05011233,West Heath (Bexley),1,Female,8202
